"You request accepted for review!","You request accepted for review!"
"Your request can't be sent. Please, contact us if you see this message.","Your request can't be sent. Please, contact us if you see this message."
"Loyalty program for Regular Customers","Loyalty program for Regular Customers"
Firstname,Firstname
Email,Email
"Send request","Send request"
"Requested product: %1","Requested product: %1"
"Message: %1","Message: %1"
"Regular Customer","Regular Customer"
"Loyalty program","Loyalty program"
